Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20220806,11:13,11:26
1,2,37,20220806,11:28,11:40
1,3,97,20220806,11:44,11:54
1,4,143,20220806,11:57,12:11
1,5,188,20220806,12:14,12:28
1,6,230,20220806,12:31,12:45
1,7,270,20220806,12:48,13:00
1,8,307,20220806,13:02,13:15
1,9,336,20220806,13:17,13:28
1,10,360,20220806,13:30,13:41
1,11,384,20220806,13:43,13:54
1,12,505,20220806,13:56,14:08
1,13,657,20220806,14:10,14:27
2,1,0,20220808,11:08,11:19
2,2,32,20220808,11:22,11:34
2,3,82,20220808,11:36,11:46
2,4,124,20220808,11:48,11:58
2,5,165,20220808,12:00,12:10
2,6,233,20220808,12:12,12:23
2,7,289,20220808,12:25,12:35
2,8,341,20220808,12:37,12:47
2,9,413,20220808,12:49,12:59
3,1,0,20220808,14:24,14:36
3,2,32,20220808,14:38,14:49
3,3,82,20220808,14:51,15:02
3,4,124,20220808,15:04,15:15
3,5,165,20220808,15:17,15:28
3,6,233,20220808,15:30,15:41
3,7,289,20220808,15:45,15:56
3,8,341,20220808,15:58,16:08
3,9,413,20220808,16:10,16:19
3,10,517,20220808,16:21,16:31
