Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,0,20220806,11:13,11:26
1,2,37,20220806,11:28,11:40
1,3,97,20220806,11:44,11:54
1,4,143,20220806,11:57,12:11
1,5,188,20220806,12:14,12:28
1,6,230,20220806,12:31,12:45
1,7,270,20220806,12:48,13:00
1,8,307,20220806,13:02,13:15
1,9,336,20220806,13:17,13:28
1,10,360,20220806,13:30,13:41
1,11,384,20220806,13:43,13:54
1,12,505,20220806,13:56,14:08
1,13,657,20220806,14:10,14:27
2,1,0,20220808,11:08,11:19
2,2,32,20220808,11:22,11:34
2,3,82,20220808,11:36,11:46
2,4,124,20220808,11:48,11:58
2,5,165,20220808,12:00,12:10
2,6,233,20220808,12:12,12:23
2,7,289,20220808,12:25,12:35
2,8,341,20220808,12:37,12:47
2,9,413,20220808,12:49,12:59
3,1,0,20220808,14:24,14:36
3,2,32,20220808,14:38,14:49
3,3,82,20220808,14:51,15:02
3,4,124,20220808,15:04,15:15
3,5,165,20220808,15:17,15:28
3,6,233,20220808,15:30,15:41
3,7,289,20220808,15:45,15:56
3,8,341,20220808,15:58,16:08
3,9,413,20220808,16:10,16:19
3,10,517,20220808,16:21,16:31
4,1,0,20220809,9:38,9:48
4,2,32,20220809,9:49,9:59
4,3,82,20220809,10:00,10:10
4,4,124,20220809,10:11,10:21
4,5,165,20220809,10:31,10:41
4,6,233,20220809,10:49,10:59
4,7,289,20220809,11:01,11:12
4,8,341,20220809,11:14,11:25
4,9,413,20220809,11:26,11:36
4,10,517,20220809,11:38,11:48
5,1,0,20220809,13:09,13:19
5,2,32,20220809,13:22,13:32
5,3,82,20220809,13:34,13:44
5,4,124,20220809,13:45,13:55
5,5,165,20220809,13:57,14:07
5,6,233,20220809,14:18,14:28
5,7,289,20220809,14:31,14:41
5,8,341,20220809,14:42,14:52
5,9,413,20220809,14:53,15:04
5,10,517,20220809,15:05,15:16
6,1,0,20220809,16:37,16:48
6,2,32,20220809,16:50,17:02
6,3,82,20220809,17:04,17:15
6,4,124,20220809,17:16,17:26
6,5,165,20220809,17:28,17:41
6,6,233,20220809,17:47,17:57
6,7,289,20220809,17:59,18:10
6,8,341,20220809,18:12,18:25
6,9,413,20220809,18:27,18:34
6,10,517,20220809,18:39,18:50
7,1,0,20220810,8:08,8:19
7,2,32,20220810,8:21,8:31
7,3,82,20220810,8:32,8:43
7,4,124,20220810,8:45,8:55
7,5,165,20220810,8:56,9:07
7,6,233,20220810,9:09,9:19
7,7,289,20220810,9:21,9:31
7,8,341,20220810,9:32,9:42
7,9,413,20220810,9:44,9:54
7,10,517,20220810,9:56,10:06
8,1,0,20220810,11:06,11:18
8,2,32,20220810,11:20,11:30
8,3,82,20220810,11:31,11:41
8,4,124,20220810,11:43,11:53
8,5,165,20220810,11:54,12:04
8,6,233,20220810,12:06,12:16
8,7,289,20220810,12:18,12:28
8,8,341,20220810,12:30,12:42
8,9,413,20220810,12:43,12:53
8,10,517,20220810,12:55,13:06
9,1,0,20220810,13:59,14:09
9,2,32,20220810,14:11,14:22
9,3,82,20220810,14:23,14:33
9,4,124,20220810,14:35,14:45
9,5,165,20220810,14:47,
9,6,233,20220810,,
9,7,289,20220810,,
9,8,341,20220810,,
9,9,413,20220810,,
9,10,517,20220810,,
