Date,colony_id,Chamber.Channel,Position,Bin.ID,Run,Species,Temp.Cat,Chamber.Vol.L,Notes
20220806,Past-A1,1,1,1,1,Porites astreoides,29,0.591,NA
20220806,Dlab-B1,2,2,1,1,Diploria labyrinthiformis,29,0.578,NA
20220806,Mdec-B1,3,3,1,1,Madracis decactis,29,0.606,NA
20220806,Mdec-A1,4,4,1,1,Madracis decactis,29,0.605,NA
20220806,BK-1,5,5,1,1,Blank,29,0.61,NA
20220806,Mcav-B1,6,6,1,1,Montastraea cavernosa,29,0.602,NA
20220806,Dlab-A1,7,7,1,1,Diploria labyrinthiformis,29,0.596,NA
20220806,Mcav-A1,8,8,1,1,Montastraea cavernosa,29,0.601,NA
20220808,Mdec-D1,1,1,1,2,Madracis decactis,29,0.595,NA
20220808,Mcav-C1,2,2,1,2,Montastraea cavernosa,29,0.598,NA
20220808,Past-D1,3,3,1,2,Porites astreoides,29,0.593,NA
20220808,Dlab-D1,4,4,1,2,Diploria labyrinthiformis,29,0.592,NA
20220808,Past-C1,5,5,1,2,Porites astreoides,29,0.606,NA
20220808,Mcav-D1,6,6,1,2,Montastraea cavernosa,29,0.618,NA
20220808,Mdec-C1,7,7,1,2,Madracis decactis,29,0.614,NA
20220808,BK-2,8,8,1,2,Blank,29,0.599,NA
20220808,Mdec-F1,1,1,1,3,Madracis decactis,29,0.607,NA
20220808,Dlab-F1,2,2,1,3,Diploria labyrinthiformis,29,0.576,NA
20220808,Past-E1,3,3,1,3,Porites astreoides,29,0.57,NA
20220808,Mcav-E1,4,4,1,3,Montastraea cavernosa,29,0.58,NA
20220808,Dlab-E1,5,5,1,3,Diploria labyrinthiformis,29,0.59,NA
20220808,Past-F1,6,6,1,3,Porites astreoides,29,0.588,NA
20220808,Mcav-F1,7,7,1,3,Montastraea cavernosa,29,0.589,NA
20220808,Mdec-E1,8,8,1,3,Madracis decactis,29,0.612,NA
20220809,Dlab-B2,1,1,1,4,Diploria labyrinthiformis,40,0.59,Tissue sloughing and cloudy water by 40% light step
20220809,BK-3,2,2,1,4,Blank,40,0.614,Tissue sloughing and cloudy water by 40% light step
20220809,Past-B2,3,3,1,4,Porites astreoides,40,0.589,Tissue sloughing and cloudy water by 40% light step
20220809,Mdec-A2,4,4,1,4,Madracis decactis,40,0.6,Tissue sloughing and cloudy water by 40% light step
20220809,Mcav-A2,5,5,1,4,Montastraea cavernosa,40,0.589,Tissue sloughing and cloudy water by 40% light step
20220809,Mcav-B2,6,6,1,4,Montastraea cavernosa,40,0.602,Tissue sloughing and cloudy water by 40% light step
20220809,Past-A2,7,7,1,4,Porites astreoides,40,0.598,Tissue sloughing and cloudy water by 40% light step
20220809,Dlab-A2,8,8,1,4,Diploria labyrinthiformis,40,0.6,Tissue sloughing and cloudy water by 40% light step
20220809,Past-D2,1,1,1,5,Porites astreoides,40,0.582,Tissue sloughing and cloudy water by 40% light step
20220809,Dlab-C2,2,2,1,5,Diploria labyrinthiformis,40,0.596,Tissue sloughing and cloudy water by 40% light step
20220809,Dlab-E2,3,3,1,5,Diploria labyrinthiformis,40,0.592,Tissue sloughing and cloudy water by 40% light step
20220809,Mcav-F2,4,4,1,5,Montastraea cavernosa,40,0.584,Tissue sloughing and cloudy water by 40% light step
